"304","LFS Marine and Outdoor (Lummi)","851 Coho Way","Bellingham","WA","USA","98225","800-426-8860","800-734-4058","NULL","NULL","1","Yes","48.7591544","-122.5035341",""
"503","Western Auto Marine","5165 Glacier Hwy.","Juneau","AK","USA","99801","907-780-4909","907-780-6646","NULL","NULL","1","Yes","58.3509973","-134.4929386",""
"1605","Defiance Marine","7510 Bree Dr","Bremerton","WA","USA","98312","360.813.3600","NULL","NULL","www.defiancemarine.com","1","Yes","47.504081","-122.750799",""
"1417","Alaska Winlderness Outfitting","3857 Fairview","Ketchikan","AK","USA","","907-225-7335","NULL","NULL","NULL","1","Yes","55.3624534","-131.6914655",""
"262","CY's Sporting Goods","11206 South Russian Creek Road","Kodiak","AK","USA","99615","907-486-3900","907-486-5620","kodiak-outfitters@alaska.com","","1","Yes","57.7022621","-152.5796701",""
"353","Outdoor Emporium","1701 4th Ave S","Seattle","WA","USA","98134","206-624-6550","NULL","NULL","NULL","1","Yes","47.5879835","-122.3294831",""
"1420","Electrotech","1332 East 4th Street","Duluth","MN","USA","55805","218-727-8919","218-727-4070","electrotech@charterinternet.com","NULL","1","No","46.8027378","-92.0850846",""
"1606","Time Enterprize","13303 E Cataldo","Spokane","WA","USA","99216","509.924.4733 ","NULL","NULL","NULL","1","Yes","47.666877","-117.226002",""
"860","FISH307.com","6 State Route 149","Lake George","NY","USA","12845","518-798-9203","NULL","NULL","www.fish307.com","1","Yes","43.3691195","-73.6970288",""
"766","Sportco","4602-20th St East","Fife","WA","USA","","253-922-2222","NULL","NULL","NULL","1","Yes","47.2380322","-122.366265",""
"1118","Three Rivers Marine","24300 Woodinville-Snohomish Rd","Woodinville","WA","USA","98072","425-415-1575","NULL","NULL","NULL","-1","No","47.7782563","-122.1515301",""
"832","Half Hitch Tackle","2206 Thomas Dr","Panama City","FL","USA","32408","850-234-2621","NULL","NULL","NULL","1","Yes","30.1629855","-85.755647",""
"894","Fisherman's Friend","440 east Kettleman Lane","Lodi","CA","USA","95240","209-369-0204","209-369-1293","NULL","NULL","1","Yes","38.11588","-121.263663",""
"333","Ollie Damon's","236 SE Grand Ave","Portland","OR","USA","97214","503-232-3193","NULL","NULL","NULL","1","Yes","45.5209687","-122.6602912",""
"334","Der Schleppfischer","Wilhelmine-Potter-Str. 25","Niestetal","Hesse","Germany","","0561/524161","NULL","NULL","NULL","1","Yes","51.324663","9.549818",""
"","","","","","","","","","","","","","","",""
